id_produto,nome_produto,categoria,categoria_produtos,preco_com_desconto,quartil_preco_com_desconto,preco_atual,quartil_preco_atual,porcentagem_desconto,quartil_porcent_desconto,valor_desconto,quartil_valor_desconto,descricao_produto
B00LZLQ624,Classmate Soft Cover 6 Subject Spiral Binding Notebook Single Line 300 Pages,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesWireboundNotebooks,produtos de escritório,157,1,160,1,"0,02",1,3,1,The cover design of the notebook is subject to change it depends on stock availability6 subject notebooksingle line 300 pages spiral binding soft cover 297mm210mmSix subjects one notebook only the best from classmateClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
B00P93X6EK,Classmate Soft Cover 6 Subject Spiral Binding Notebook Unruled 300 Pages,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesWireboundNotebooks,produtos de escritório,157,1,160,1,"0,02",1,3,1,The cover design of the notebook is subject to change it depends on stock availability6 subject notebookunruled 300 pages spiral binding soft cover 297mm210mmSix subjects one notebook only the best from classmateClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
B00P93X0VO,Classmate Pulse 6 Subject Notebook  Unruled 300 Pages Spiral Binding 240mm180mm,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesWireboundNotebooks,produtos de escritório,114,1,120,1,"0,05",1,6,1,The cover design of the notebook is subject to change it depends on stock availability6 Subject NotebookUnruled 300 Pages Spiral Binding Soft Cover 240mm180mmSix subjects One notebook Only the best from ClassmateClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
B00P93X2H6,Classmate Pulse Spiral Notebook  240 mm x 180 mm Soft Cover 200 Pages Unruled,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesCompositionNotebooks,produtos de escritório,67,1,75,1,"0,11",1,8,1,The cover design of the notebook is subject to change it depends on stock availability 1 Subject Notebook  Unruled 200 Pages Spiral Binding Soft Cover 240mm x 180mm Notebooks for every subject for hasslefree notetaking during classes or lectures Classmate uses elemental chlorine free paper This notebook consists of high quality papers Country of Origin India
B00S2SEV7K,Pilot Frixion Clicker Roller Pen Blue 9000019529,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsLiquidInkRollerballPens,produtos de escritório,90,1,100,1,"0,1",1,10,1,Unique patented thermosensitive Frixion InkA fun loving products for making notes drafts poem diary writing sudoku puzzles etcErase and rewrite repeatedly without damaging documents No wear or tearComfortable dimpled grip  inbuild eraserErasable pens are not recommended for use on legal or official documents Do not expose to extreme temperatures 140 If pen is exposed to temperature that reaches 140 the ink will be colorless when writing To restore color cool to at least 14 in freezer and the ink will again write in colorEraser is at the top of the pen tip is retractable by pressing clip down
B07JB2Y4SR,Classmate Octane Colour BurstMulticolour Gel Pens Pack of 10  Gold  Silver Glitter Sparkle Pens10 colour ink shades for art lovers and kidsFun at home essentials,HomeKitchenCraftMaterialsDrawingMaterialsDrawingMediaPens,casa e cozinha,90,1,100,1,"0,1",1,10,1,10 Rich colours with silver and gold optionsComforatble writing gripStylish sculpted design
B00LM4X3XE,Parker Quink Ink Bottle Black,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsBottledInk,produtos de escritório,90,1,100,1,"0,1",1,10,1,Black Colour is washable in nature30ml BottleHigh quality ink
B09N6TTHT6,ECOSMOS Plug in LED Night Light Mini USB LED Light Flexible USB LED Ambient Light Mini USB LED Light LED Portable car Bulb Indoor Outdoor Reading Sleep 4 pcs,ComputersAccessoriesAccessoriesPeripheralsUSBGadgetsLamps,acessórios de computador,89,1,99,1,"0,1",1,10,1,Multipurpose you can use it as night sleeping Corridor lighting camping lighting or any emergency lightEnergy efficient LED light means you dont need to worry about replacing a burnt out bulb The light source stays cool to the touch and is made to lastSoft light eye protection suitable for sleep wake up breastfeeding reading etcPower 1W Voltage  5V  Color White  Warm White for choiceThis night light combines a sleek and modern design that is perfect for bedroom kids room nursery bathroom kitchen living room hallway stairs and anywhere
B09CTRPSJR,Storio Kids Toys LCD Writing Tablet 85Inch ENote Pad Best Birthday Gift for Girls Boys Multicolor SC1667,ComputersAccessoriesAccessoriesPeripheralsKeyboardsMiceInputDevicesGraphicTablets,acessórios de computador,217,1,237,1,"0,08",1,20,1,Toys and Games Portable Ruff Pad EWriter 85 inch LCD DisplayOnetouch Erase Button  Tablet displays your notes until you erase them with the touch of a buttonOnetouch button erases notes instantlyPressuresensitive screen lets you create thick and thin lines Durable case and recessed screen are safe for school travel and home useTablet displays your notes until you erase them with the touch of a button Onetouch button erases notes instantlyBest Birthday Gift For Kids Color may vary as per Availability
B00ZRBWPA0,Eveready Red 1012 AAA Batteries  Pack of 10,ElectronicsGeneralPurposeBatteriesBatteryChargersDisposableBatteries,eletrônicos,159,1,180,1,"0,12",1,21,1,Think Battery  Think Eveready  Eveready Red 1012 AAA batteries are the No 1 choice to Power your devicesTrusted by Millions  dependable performance from Indias No 1 Battery Brand
B08VGFX2B6,Kuber Industries Waterproof Round Non Wovan Laundry BagHamperMetalic Printed With HandlesFoldable Bin  45 Liter CapicitySize 37 x 37 x 49 Pack of 1 Beige  BrownKUBMART11450,HomeKitchenHomeStorageOrganizationLaundryOrganizationLaundryBaskets,casa e cozinha,177,1,199,1,"0,11",1,22,1,PACKAGE CONTAIN 1 Piece Laundry BasketMATERIAL Non Woven COLOR Beige  BlackPRODUCT DIMENSION 37 x 37 x 49 CMEASILY FOLDABLE Builtin handles for easy transport from the hamper to your washing machine Easily folds open to put into use and quickly folds flat for home storage when not in useEasy To Use This is a multipurpose organizer that can be used for keeping various things You can set a few bags for various items such as office clothes home clothes daily essentials and many more This will help you get the things and will also save time in reorganization
B00LZLPYHW,Classmate 2100117 Soft Cover 6 Subject Spiral Binding Notebook Single Line 300 Pages,OfficeProductsOfficePaperProductsPaperStationeryNotebooksWritingPadsDiariesWireboundNotebooks,produtos de escritório,137,1,160,1,"0,14",1,23,1,The cover design of the notebook is subject to change it depends on stock availability6 subject notebooksingle line 300 pages spiral binding soft cover 267mm203mmSix subjects one notebook only the best from classmateClassmate uses eco friendly and elemental chlorine free paperThis notebook consists of papers
B00LVMTA2A,Panasonic CR20325BE Lithium Coin Battery  Pack of 5,ElectronicsGeneralPurposeBatteriesBatteryChargers,eletrônicos,225,1,250,1,"0,1",1,25,1,Used in CMOS batteryUsed in car remotesUsed in calculatorsUsed in scientific instrumentsUsed in watch
B09BL2KHQW,KENT POWPSediment Filter 10 Thread WCAP,HomeKitchenKitchenHomeAppliancesWaterPurifiersAccessoriesWaterPurifierAccessories,casa e cozinha,231,1,260,1,"0,11",1,29,1,Sediment filter 10 inch Kent
B089BDBDGM,Kuber Industries Waterproof Round Laundry BagHamperPolka Dots Print Print with HandlesFoldable Bin  45 Liter CapicitySize 37 x 37 x 49 Pack of 1Black  White CTKTC044992,HomeKitchenHomeStorageOrganizationLaundryOrganizationLaundryBaskets,casa e cozinha,219,1,249,1,"0,12",1,30,1,PACKAGE CONTAIN 1 Piece Laundry BasketMATERIAL Canvas COLOR Black  WhitePRODUCT DIMENSION 37 x 37 x 46 CMEASILY FOLDABLE Builtin handles for easy transport from the hamper to your washing machine Easily folds open to put into use and quickly folds flat for home storage when not in useEasy To Use This is a multipurpose organizer that can be used for keeping various things You can set a few bags for various items such as office clothes home clothes daily essentials and many more This will help you get the things and will also save time in reorganization
B00LY1FN1K,Camel Fabrica Acrylic Ultra Color  15ml each 10 Shades,HomeKitchenCraftMaterialsPaintingMaterialsPaints,casa e cozinha,200,1,230,1,"0,13",1,30,1,10 assorted ultra shades in 15ml bottleConfirms to safety standard EN 71  3Camel fabric acrylic colours are permanent on absorbent surfaces
B08QDPB1SL,Duracell Chhota Power AA Battery Set of 10 Pcs,ElectronicsGeneralPurposeBatteriesBatteryChargersDisposableBatteries,eletrônicos,190,1,220,1,"0,14",1,30,1,Duracell AA Chota Power BatteriesAlkaline LR03MN2400Pack of 10
B07Q7561HD,Eveready 1015 Carbon Zinc AA Battery  10 Pieces,ElectronicsGeneralPurposeBatteriesBatteryChargersDisposableBatteries,eletrônicos,149,1,180,1,"0,17",1,31,1,Evereadys Zinc Carbon Battery are considered one of the best battery for remote controls clocks small toys torches etcHighly durable  reliable technologyAvailable in wide range of sizes  AAA AA D C and 9V sizes
B00LOD70SC,Pilot V7 Liquid Ink Roller Ball Pen 2 Blue  1 Black,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsRetractableBallpointPens,produtos de escritório,178,1,210,1,"0,15",1,32,1,Unique 3 dimple tip technology from Japan for precision writingATT System for instant startPure liquid ink for smooth skipfree writingUnique see through ink tank visually indicates ink level07mm fine tipInk color  Blue  Black
